Gripper,Object,Close Gripper Force,Shake Gripper Amplitude,Force Move XYZ,Success_Count,dim_x,dim_y,dim_z
flatgelsight_gripper,cracker_box,30,0.1,"[0, 0, 0.14]",10,0.073332,0.164998,0.214759
flatgelsight_gripper,cracker_box,30,0.1,"[0, 0, 0.15000000000000002]",10,0.073332,0.164998,0.214759
flatgelsight_gripper,cracker_box,30,0.1,"[0, 0, 0.16000000000000003]",10,0.073332,0.164998,0.214759
flatgelsight_gripper,cracker_box,30,0.3,"[0, 0, 0.14]",10,0.073332,0.164998,0.214759
flatgelsight_gripper,cracker_box,30,0.3,"[0, 0, 0.15000000000000002]",10,0.073332,0.164998,0.214759
flatgelsight_gripper,cracker_box,30,0.3,"[0, 0, 0.16000000000000003]",10,0.073332,0.164998,0.214759
flatgelsight_gripper,cracker_box,30,0.5,"[0, 0, 0.14]",10,0.073332,0.164998,0.214759
flatgelsight_gripper,cracker_box,30,0.5,"[0, 0, 0.15000000000000002]",10,0.073332,0.164998,0.214759
flatgelsight_gripper,cracker_box,30,0.5,"[0, 0, 0.16000000000000003]",10,0.073332,0.164998,0.214759
flatgelsight_gripper,cracker_box,40,0.1,"[0, 0, 0.14]",10,0.073332,0.164998,0.214759
flatgelsight_gripper,cracker_box,40,0.1,"[0, 0, 0.15000000000000002]",10,0.073332,0.164998,0.214759
flatgelsight_gripper,cracker_box,40,0.1,"[0, 0, 0.16000000000000003]",10,0.073332,0.164998,0.214759
flatgelsight_gripper,cracker_box,40,0.3,"[0, 0, 0.14]",10,0.073332,0.164998,0.214759
flatgelsight_gripper,cracker_box,40,0.3,"[0, 0, 0.15000000000000002]",10,0.073332,0.164998,0.214759
flatgelsight_gripper,cracker_box,40,0.3,"[0, 0, 0.16000000000000003]",10,0.073332,0.164998,0.214759
flatgelsight_gripper,cracker_box,40,0.5,"[0, 0, 0.14]",10,0.073332,0.164998,0.214759
flatgelsight_gripper,cracker_box,40,0.5,"[0, 0, 0.15000000000000002]",10,0.073332,0.164998,0.214759
flatgelsight_gripper,cracker_box,40,0.5,"[0, 0, 0.16000000000000003]",10,0.073332,0.164998,0.214759
flatgelsight_gripper,cracker_box,50,0.1,"[0, 0, 0.14]",10,0.073332,0.164998,0.214759
flatgelsight_gripper,cracker_box,50,0.1,"[0, 0, 0.15000000000000002]",10,0.073332,0.164998,0.214759
flatgelsight_gripper,cracker_box,50,0.1,"[0, 0, 0.16000000000000003]",10,0.073332,0.164998,0.214759
flatgelsight_gripper,cracker_box,50,0.3,"[0, 0, 0.14]",10,0.073332,0.164998,0.214759
flatgelsight_gripper,cracker_box,50,0.3,"[0, 0, 0.15000000000000002]",10,0.073332,0.164998,0.214759
flatgelsight_gripper,cracker_box,50,0.3,"[0, 0, 0.16000000000000003]",10,0.073332,0.164998,0.214759
flatgelsight_gripper,cracker_box,50,0.5,"[0, 0, 0.14]",10,0.073332,0.164998,0.214759
flatgelsight_gripper,cracker_box,50,0.5,"[0, 0, 0.15000000000000002]",10,0.073332,0.164998,0.214759
flatgelsight_gripper,cracker_box,50,0.5,"[0, 0, 0.16000000000000003]",10,0.073332,0.164998,0.214759
flatgelsight_gripper,cracker_box,60,0.1,"[0, 0, 0.14]",10,0.073332,0.164998,0.214759
flatgelsight_gripper,cracker_box,60,0.1,"[0, 0, 0.15000000000000002]",10,0.073332,0.164998,0.214759
flatgelsight_gripper,cracker_box,60,0.1,"[0, 0, 0.16000000000000003]",10,0.073332,0.164998,0.214759
flatgelsight_gripper,cracker_box,60,0.3,"[0, 0, 0.14]",10,0.073332,0.164998,0.214759
flatgelsight_gripper,cracker_box,60,0.3,"[0, 0, 0.15000000000000002]",10,0.073332,0.164998,0.214759
flatgelsight_gripper,cracker_box,60,0.3,"[0, 0, 0.16000000000000003]",10,0.073332,0.164998,0.214759
flatgelsight_gripper,cracker_box,60,0.5,"[0, 0, 0.14]",10,0.073332,0.164998,0.214759
flatgelsight_gripper,cracker_box,60,0.5,"[0, 0, 0.15000000000000002]",10,0.073332,0.164998,0.214759
flatgelsight_gripper,cracker_box,60,0.5,"[0, 0, 0.16000000000000003]",10,0.073332,0.164998,0.214759
flatgelsight_gripper,can,40,0.1,"[-0.01, 0, 0.13]",10,0.103022,0.103022,0.14114
flatgelsight_gripper,can,40,0.1,"[-0.01, 0, 0.145]",0,0.103022,0.103022,0.14114
flatgelsight_gripper,can,40,0.3,"[-0.01, 0, 0.13]",10,0.103022,0.103022,0.14114
flatgelsight_gripper,can,40,0.3,"[-0.01, 0, 0.145]",0,0.103022,0.103022,0.14114
flatgelsight_gripper,can,40,0.5,"[-0.01, 0, 0.13]",0,0.103022,0.103022,0.14114
flatgelsight_gripper,can,40,0.5,"[-0.01, 0, 0.145]",0,0.103022,0.103022,0.14114
flatgelsight_gripper,can,50,0.1,"[-0.01, 0, 0.13]",10,0.103022,0.103022,0.14114
flatgelsight_gripper,can,50,0.1,"[-0.01, 0, 0.145]",10,0.103022,0.103022,0.14114
flatgelsight_gripper,can,50,0.3,"[-0.01, 0, 0.13]",10,0.103022,0.103022,0.14114
flatgelsight_gripper,can,50,0.3,"[-0.01, 0, 0.145]",10,0.103022,0.103022,0.14114
flatgelsight_gripper,can,50,0.5,"[-0.01, 0, 0.13]",10,0.103022,0.103022,0.14114
flatgelsight_gripper,can,50,0.5,"[-0.01, 0, 0.145]",0,0.103022,0.103022,0.14114
flatgelsight_gripper,can,60,0.1,"[-0.01, 0, 0.13]",10,0.103022,0.103022,0.14114
flatgelsight_gripper,can,60,0.1,"[-0.01, 0, 0.145]",10,0.103022,0.103022,0.14114
flatgelsight_gripper,can,60,0.3,"[-0.01, 0, 0.13]",10,0.103022,0.103022,0.14114
flatgelsight_gripper,can,60,0.3,"[-0.01, 0, 0.145]",0,0.103022,0.103022,0.14114
flatgelsight_gripper,can,60,0.5,"[-0.01, 0, 0.13]",10,0.103022,0.103022,0.14114
flatgelsight_gripper,can,60,0.5,"[-0.01, 0, 0.145]",0,0.103022,0.103022,0.14114
flatgelsight_gripper,tuna_fish_can,40,0.1,"[-0.01, 0, 0.12]",0,0.086112,0.086112,0.03412
flatgelsight_gripper,tuna_fish_can,40,0.1,"[-0.01, 0, 0.122]",0,0.086112,0.086112,0.03412
flatgelsight_gripper,tuna_fish_can,40,0.3,"[-0.01, 0, 0.12]",0,0.086112,0.086112,0.03412
flatgelsight_gripper,tuna_fish_can,40,0.3,"[-0.01, 0, 0.122]",0,0.086112,0.086112,0.03412
flatgelsight_gripper,tuna_fish_can,40,0.5,"[-0.01, 0, 0.12]",0,0.086112,0.086112,0.03412
flatgelsight_gripper,tuna_fish_can,40,0.5,"[-0.01, 0, 0.122]",0,0.086112,0.086112,0.03412
flatgelsight_gripper,tuna_fish_can,50,0.1,"[-0.01, 0, 0.12]",0,0.086112,0.086112,0.03412
flatgelsight_gripper,tuna_fish_can,50,0.1,"[-0.01, 0, 0.122]",0,0.086112,0.086112,0.03412
flatgelsight_gripper,tuna_fish_can,50,0.3,"[-0.01, 0, 0.12]",0,0.086112,0.086112,0.03412
flatgelsight_gripper,tuna_fish_can,50,0.3,"[-0.01, 0, 0.122]",0,0.086112,0.086112,0.03412
flatgelsight_gripper,tuna_fish_can,50,0.5,"[-0.01, 0, 0.12]",0,0.086112,0.086112,0.03412
flatgelsight_gripper,tuna_fish_can,50,0.5,"[-0.01, 0, 0.122]",0,0.086112,0.086112,0.03412
flatgelsight_gripper,tuna_fish_can,60,0.1,"[-0.01, 0, 0.12]",0,0.086112,0.086112,0.03412
flatgelsight_gripper,tuna_fish_can,60,0.1,"[-0.01, 0, 0.122]",0,0.086112,0.086112,0.03412
flatgelsight_gripper,tuna_fish_can,60,0.3,"[-0.01, 0, 0.12]",0,0.086112,0.086112,0.03412
flatgelsight_gripper,tuna_fish_can,60,0.3,"[-0.01, 0, 0.122]",0,0.086112,0.086112,0.03412
flatgelsight_gripper,tuna_fish_can,60,0.5,"[-0.01, 0, 0.12]",0,0.086112,0.086112,0.03412
flatgelsight_gripper,tuna_fish_can,60,0.5,"[-0.01, 0, 0.122]",0,0.086112,0.086112,0.03412
flatgelsight_gripper,potted_meat_can,40,0.1,"[-0.01, 0, 0.12]",10,0.102833,0.061125,0.084137
flatgelsight_gripper,potted_meat_can,40,0.1,"[-0.01, 0, 0.13]",0,0.102833,0.061125,0.084137
flatgelsight_gripper,potted_meat_can,40,0.3,"[-0.01, 0, 0.12]",0,0.102833,0.061125,0.084137
flatgelsight_gripper,potted_meat_can,40,0.3,"[-0.01, 0, 0.13]",0,0.102833,0.061125,0.084137
flatgelsight_gripper,potted_meat_can,40,0.5,"[-0.01, 0, 0.12]",0,0.102833,0.061125,0.084137
flatgelsight_gripper,potted_meat_can,40,0.5,"[-0.01, 0, 0.13]",0,0.102833,0.061125,0.084137
flatgelsight_gripper,potted_meat_can,50,0.1,"[-0.01, 0, 0.12]",10,0.102833,0.061125,0.084137
flatgelsight_gripper,potted_meat_can,50,0.1,"[-0.01, 0, 0.13]",0,0.102833,0.061125,0.084137
flatgelsight_gripper,potted_meat_can,50,0.3,"[-0.01, 0, 0.12]",10,0.102833,0.061125,0.084137
flatgelsight_gripper,potted_meat_can,50,0.3,"[-0.01, 0, 0.13]",0,0.102833,0.061125,0.084137
flatgelsight_gripper,potted_meat_can,40,0.1,"[-0.01, 0, 0.12]",10,0.102833,0.061125,0.084137
flatgelsight_gripper,potted_meat_can,40,0.1,"[-0.01, 0, 0.13]",0,0.102833,0.061125,0.084137
flatgelsight_gripper,potted_meat_can,40,0.3,"[-0.01, 0, 0.12]",0,0.102833,0.061125,0.084137
flatgelsight_gripper,potted_meat_can,40,0.3,"[-0.01, 0, 0.13]",0,0.102833,0.061125,0.084137
flatgelsight_gripper,potted_meat_can,40,0.5,"[-0.01, 0, 0.12]",0,0.102833,0.061125,0.084137
flatgelsight_gripper,potted_meat_can,40,0.5,"[-0.01, 0, 0.13]",0,0.102833,0.061125,0.084137
flatgelsight_gripper,potted_meat_can,50,0.1,"[-0.01, 0, 0.12]",10,0.102833,0.061125,0.084137
flatgelsight_gripper,potted_meat_can,50,0.1,"[-0.01, 0, 0.13]",0,0.102833,0.061125,0.084137
flatgelsight_gripper,potted_meat_can,50,0.3,"[-0.01, 0, 0.12]",10,0.102833,0.061125,0.084137
flatgelsight_gripper,potted_meat_can,50,0.3,"[-0.01, 0, 0.13]",0,0.102833,0.061125,0.084137
flatgelsight_gripper,potted_meat_can,50,0.5,"[-0.01, 0, 0.12]",10,0.102833,0.061125,0.084137
flatgelsight_gripper,potted_meat_can,50,0.5,"[-0.01, 0, 0.13]",0,0.102833,0.061125,0.084137
flatgelsight_gripper,potted_meat_can,60,0.1,"[-0.01, 0, 0.12]",10,0.102833,0.061125,0.084137
flatgelsight_gripper,potted_meat_can,60,0.1,"[-0.01, 0, 0.13]",10,0.102833,0.061125,0.084137
flatgelsight_gripper,potted_meat_can,60,0.3,"[-0.01, 0, 0.12]",10,0.102833,0.061125,0.084137
flatgelsight_gripper,potted_meat_can,60,0.3,"[-0.01, 0, 0.13]",0,0.102833,0.061125,0.084137
flatgelsight_gripper,potted_meat_can,60,0.5,"[-0.01, 0, 0.12]",10,0.102833,0.061125,0.084137
flatgelsight_gripper,potted_meat_can,60,0.5,"[-0.01, 0, 0.13]",0,0.102833,0.061125,0.084137
flatgelsight_gripper,potted_meat_can,40,0.1,"[-0.0, 0.05, 0.12]",0,0.102833,0.061125,0.084137
flatgelsight_gripper,potted_meat_can,40,0.1,"[-0.01, 0.05, 0.13]",0,0.102833,0.061125,0.084137
flatgelsight_gripper,potted_meat_can,40,0.3,"[-0.0, 0.05, 0.12]",0,0.102833,0.061125,0.084137
flatgelsight_gripper,potted_meat_can,40,0.3,"[-0.01, 0.05, 0.13]",0,0.102833,0.061125,0.084137
flatgelsight_gripper,potted_meat_can,40,0.5,"[-0.0, 0.05, 0.12]",0,0.102833,0.061125,0.084137
flatgelsight_gripper,potted_meat_can,40,0.5,"[-0.01, 0.05, 0.13]",0,0.102833,0.061125,0.084137
flatgelsight_gripper,potted_meat_can,50,0.1,"[-0.0, 0.05, 0.12]",0,0.102833,0.061125,0.084137
flatgelsight_gripper,potted_meat_can,50,0.1,"[-0.01, 0.05, 0.13]",0,0.102833,0.061125,0.084137
flatgelsight_gripper,potted_meat_can,50,0.3,"[-0.0, 0.05, 0.12]",0,0.102833,0.061125,0.084137
flatgelsight_gripper,potted_meat_can,50,0.3,"[-0.01, 0.05, 0.13]",0,0.102833,0.061125,0.084137
flatgelsight_gripper,potted_meat_can,50,0.5,"[-0.0, 0.05, 0.12]",0,0.102833,0.061125,0.084137
flatgelsight_gripper,potted_meat_can,50,0.5,"[-0.01, 0.05, 0.13]",0,0.102833,0.061125,0.084137
flatgelsight_gripper,potted_meat_can,60,0.1,"[-0.0, 0.05, 0.12]",0,0.102833,0.061125,0.084137
flatgelsight_gripper,potted_meat_can,60,0.1,"[-0.01, 0.05, 0.13]",0,0.102833,0.061125,0.084137
flatgelsight_gripper,potted_meat_can,60,0.3,"[-0.0, 0.05, 0.12]",0,0.102833,0.061125,0.084137
flatgelsight_gripper,potted_meat_can,60,0.3,"[-0.01, 0.05, 0.13]",0,0.102833,0.061125,0.084137
flatgelsight_gripper,mug,40,0.1,"[0.0, 0.0, 0.12]",10,0.150935,0.146784,0.243716
flatgelsight_gripper,mug,40,0.1,"[0.0, 0.0, 0.125]",10,0.150935,0.146784,0.243716
flatgelsight_gripper,mug,40,0.3,"[0.0, 0.0, 0.12]",10,0.150935,0.146784,0.243716
flatgelsight_gripper,mug,40,0.3,"[0.0, 0.0, 0.125]",10,0.150935,0.146784,0.243716
flatgelsight_gripper,mug,40,0.5,"[0.0, 0.0, 0.12]",10,0.150935,0.146784,0.243716
flatgelsight_gripper,mug,40,0.5,"[0.0, 0.0, 0.125]",10,0.150935,0.146784,0.243716
flatgelsight_gripper,mug,50,0.1,"[0.0, 0.0, 0.12]",10,0.150935,0.146784,0.243716
flatgelsight_gripper,mug,50,0.1,"[0.0, 0.0, 0.125]",10,0.150935,0.146784,0.243716
flatgelsight_gripper,mug,50,0.3,"[0.0, 0.0, 0.12]",10,0.150935,0.146784,0.243716
flatgelsight_gripper,mug,50,0.3,"[0.0, 0.0, 0.125]",10,0.150935,0.146784,0.243716
flatgelsight_gripper,mug,50,0.5,"[0.0, 0.0, 0.12]",10,0.150935,0.146784,0.243716
flatgelsight_gripper,mug,50,0.5,"[0.0, 0.0, 0.125]",10,0.150935,0.146784,0.243716
flatgelsight_gripper,mug,60,0.1,"[0.0, 0.0, 0.12]",10,0.150935,0.146784,0.243716
flatgelsight_gripper,mug,60,0.1,"[0.0, 0.0, 0.125]",10,0.150935,0.146784,0.243716
flatgelsight_gripper,mug,60,0.3,"[0.0, 0.0, 0.12]",10,0.150935,0.146784,0.243716
flatgelsight_gripper,mug,60,0.3,"[0.0, 0.0, 0.125]",10,0.150935,0.146784,0.243716
flatgelsight_gripper,mug,60,0.5,"[0.0, 0.0, 0.12]",10,0.150935,0.146784,0.243716
flatgelsight_gripper,mug,60,0.5,"[0.0, 0.0, 0.125]",10,0.150935,0.146784,0.243716
flatgelsight_gripper,bowl,40,0.1,"[-0.03, 0.0, 0.118]",10,0.161818,0.161268,0.055591
flatgelsight_gripper,bowl,40,0.1,"[-0.03, 0.0, 0.12]",0,0.161818,0.161268,0.055591
flatgelsight_gripper,bowl,40,0.3,"[-0.03, 0.0, 0.118]",10,0.161818,0.161268,0.055591
flatgelsight_gripper,bowl,40,0.3,"[-0.03, 0.0, 0.12]",0,0.161818,0.161268,0.055591
flatgelsight_gripper,bowl,40,0.5,"[-0.03, 0.0, 0.118]",10,0.161818,0.161268,0.055591
flatgelsight_gripper,bowl,40,0.5,"[-0.03, 0.0, 0.12]",0,0.161818,0.161268,0.055591
flatgelsight_gripper,bowl,40,0.1,"[-0.03, 0.0, 0.118]",10,0.161818,0.161268,0.055591
flatgelsight_gripper,bowl,40,0.1,"[-0.03, 0.0, 0.12]",0,0.161818,0.161268,0.055591
flatgelsight_gripper,bowl,40,0.3,"[-0.03, 0.0, 0.118]",10,0.161818,0.161268,0.055591
flatgelsight_gripper,bowl,40,0.3,"[-0.03, 0.0, 0.12]",0,0.161818,0.161268,0.055591
flatgelsight_gripper,bowl,40,0.5,"[-0.03, 0.0, 0.118]",10,0.161818,0.161268,0.055591
flatgelsight_gripper,bowl,40,0.5,"[-0.03, 0.0, 0.12]",0,0.161818,0.161268,0.055591
flatgelsight_gripper,bowl,50,0.1,"[-0.03, 0.0, 0.118]",10,0.161818,0.161268,0.055591
flatgelsight_gripper,bowl,50,0.1,"[-0.03, 0.0, 0.12]",0,0.161818,0.161268,0.055591
flatgelsight_gripper,bowl,50,0.3,"[-0.03, 0.0, 0.118]",10,0.161818,0.161268,0.055591
flatgelsight_gripper,bowl,50,0.3,"[-0.03, 0.0, 0.12]",0,0.161818,0.161268,0.055591
flatgelsight_gripper,bowl,50,0.5,"[-0.03, 0.0, 0.118]",10,0.161818,0.161268,0.055591
flatgelsight_gripper,bowl,50,0.5,"[-0.03, 0.0, 0.12]",0,0.161818,0.161268,0.055591
flatgelsight_gripper,bowl,60,0.1,"[-0.03, 0.0, 0.118]",10,0.161818,0.161268,0.055591
flatgelsight_gripper,bowl,60,0.1,"[-0.03, 0.0, 0.12]",0,0.161818,0.161268,0.055591
flatgelsight_gripper,bowl,60,0.3,"[-0.03, 0.0, 0.118]",10,0.161818,0.161268,0.055591
flatgelsight_gripper,bowl,60,0.3,"[-0.03, 0.0, 0.12]",0,0.161818,0.161268,0.055591
flatgelsight_gripper,bowl,60,0.5,"[-0.03, 0.0, 0.118]",10,0.161818,0.161268,0.055591
flatgelsight_gripper,bowl,60,0.5,"[-0.03, 0.0, 0.12]",0,0.161818,0.161268,0.055591
flatgelsight_gripper,mustard_bottle,40,0.1,"[-0.0, -0.01, 0.118]",9,0.098237,0.067215,0.192166
flatgelsight_gripper,mustard_bottle,40,0.1,"[-0.01, 0.02, 0.118]",0,0.098237,0.067215,0.192166
flatgelsight_gripper,mustard_bottle,40,0.3,"[-0.0, -0.01, 0.118]",10,0.098237,0.067215,0.192166
flatgelsight_gripper,mustard_bottle,40,0.3,"[-0.01, 0.02, 0.118]",0,0.098237,0.067215,0.192166
flatgelsight_gripper,mustard_bottle,40,0.5,"[-0.0, -0.01, 0.118]",0,0.098237,0.067215,0.192166
flatgelsight_gripper,mustard_bottle,40,0.5,"[-0.01, 0.02, 0.118]",0,0.098237,0.067215,0.192166
flatgelsight_gripper,mustard_bottle,50,0.1,"[-0.0, -0.01, 0.118]",1,0.098237,0.067215,0.192166
flatgelsight_gripper,mustard_bottle,50,0.1,"[-0.01, 0.02, 0.118]",0,0.098237,0.067215,0.192166
flatgelsight_gripper,mustard_bottle,50,0.3,"[-0.0, -0.01, 0.118]",0,0.098237,0.067215,0.192166
flatgelsight_gripper,mustard_bottle,50,0.3,"[-0.01, 0.02, 0.118]",0,0.098237,0.067215,0.192166
flatgelsight_gripper,mustard_bottle,50,0.5,"[-0.0, -0.01, 0.118]",0,0.098237,0.067215,0.192166
flatgelsight_gripper,mustard_bottle,50,0.5,"[-0.01, 0.02, 0.118]",0,0.098237,0.067215,0.192166
flatgelsight_gripper,mustard_bottle,60,0.1,"[-0.0, -0.01, 0.118]",0,0.098237,0.067215,0.192166
flatgelsight_gripper,mustard_bottle,60,0.1,"[-0.01, 0.02, 0.118]",0,0.098237,0.067215,0.192166
flatgelsight_gripper,mustard_bottle,60,0.3,"[-0.0, -0.01, 0.118]",0,0.098237,0.067215,0.192166
flatgelsight_gripper,mustard_bottle,60,0.3,"[-0.01, 0.02, 0.118]",0,0.098237,0.067215,0.192166
flatgelsight_gripper,mustard_bottle,60,0.5,"[-0.0, -0.01, 0.118]",0,0.098237,0.067215,0.192166
flatgelsight_gripper,mustard_bottle,60,0.5,"[-0.01, 0.02, 0.118]",0,0.098237,0.067215,0.192166
flatgelsight_gripper,large_clamp,200,0.1,"[-0.01, 0.02, 0.118]",9,0.120721,0.171667,0.039871
flatgelsight_gripper,large_clamp,200,0.1,"[-0.01, 0.02, 0.12]",0,0.120721,0.171667,0.039871
flatgelsight_gripper,large_clamp,200,0.3,"[-0.01, 0.02, 0.118]",10,0.120721,0.171667,0.039871
